robot_id,event,data
robot3,CONFLICT_YIELD,"{""robot_id"": ""robot3"", ""event"": ""CONFLICT_YIELD"", ""peer"": ""robot1"", ""position"": [10.700000159442425, 5.800000086426735], ""mode"": ""coordinated""}"
robot3,CONFLICT_YIELD,"{""robot_id"": ""robot3"", ""event"": ""CONFLICT_YIELD"", ""peer"": ""robot1"", ""position"": [10.700000159442425, 5.800000086426735], ""mode"": ""coordinated""}"
robot1,OBSTACLE_RECEIVED,"{""robot_id"": ""robot1"", ""event"": ""OBSTACLE_RECEIVED"", ""from"": ""robot3"", ""position"": [10.598019741330662, 6.111356746235063], ""mode"": ""coordinated""}"
robot2,OBSTACLE_RECEIVED,"{""robot_id"": ""robot2"", ""event"": ""OBSTACLE_RECEIVED"", ""from"": ""robot3"", ""position"": [10.598019741330662, 6.111356746235063], ""mode"": ""coordinated""}"
robot3,CONFLICT_YIELD,"{""robot_id"": ""robot3"", ""event"": ""CONFLICT_YIELD"", ""peer"": ""robot1"", ""position"": [10.700000159442425, 5.800000086426735], ""mode"": ""coordinated""}"
robot2,OBSTACLE_RECEIVED,"{""robot_id"": ""robot2"", ""event"": ""OBSTACLE_RECEIVED"", ""from"": ""robot1"", ""position"": [11.108755209700721, 5.904778431641854], ""mode"": ""coordinated""}"
robot3,OBSTACLE_RECEIVED,"{""robot_id"": ""robot3"", ""event"": ""OBSTACLE_RECEIVED"", ""from"": ""robot1"", ""position"": [11.108755209700721, 5.904778431641854], ""mode"": ""coordinated""}"
robot3,CONFLICT_YIELD,"{""robot_id"": ""robot3"", ""event"": ""CONFLICT_YIELD"", ""peer"": ""robot1"", ""position"": [10.700000159442425, 5.800000086426735], ""mode"": ""coordinated""}"
robot1,OBSTACLE_RECEIVED,"{""robot_id"": ""robot1"", ""event"": ""OBSTACLE_RECEIVED"", ""from"": ""robot3"", ""position"": [10.540213401831108, 6.624357903762677], ""mode"": ""coordinated""}"
robot2,OBSTACLE_RECEIVED,"{""robot_id"": ""robot2"", ""event"": ""OBSTACLE_RECEIVED"", ""from"": ""robot3"", ""position"": [10.540213401831108, 6.624357903762677], ""mode"": ""coordinated""}"
robot3,CONFLICT_YIELD,"{""robot_id"": ""robot3"", ""event"": ""CONFLICT_YIELD"", ""peer"": ""robot1"", ""position"": [10.700000159442425, 5.800000086426735], ""mode"": ""coordinated""}"
robot3,CONFLICT_YIELD,"{""robot_id"": ""robot3"", ""event"": ""CONFLICT_YIELD"", ""peer"": ""robot1"", ""position"": [10.700000159442425, 5.800000086426735], ""mode"": ""coordinated""}"
robot2,OBSTACLE_RECEIVED,"{""robot_id"": ""robot2"", ""event"": ""OBSTACLE_RECEIVED"", ""from"": ""robot3"", ""position"": [10.478026250325106, 7.147001853788536], ""mode"": ""coordinated""}"
robot1,OBSTACLE_RECEIVED,"{""robot_id"": ""robot1"", ""event"": ""OBSTACLE_RECEIVED"", ""from"": ""robot3"", ""position"": [10.478026250325106, 7.147001853788536], ""mode"": ""coordinated""}"
robot3,OBSTACLE_RECEIVED,"{""robot_id"": ""robot3"", ""event"": ""OBSTACLE_RECEIVED"", ""from"": ""robot1"", ""position"": [11.10953108631506, 5.92850989680386], ""mode"": ""coordinated""}"
robot2,OBSTACLE_RECEIVED,"{""robot_id"": ""robot2"", ""event"": ""OBSTACLE_RECEIVED"", ""from"": ""robot1"", ""position"": [11.10953108631506, 5.92850989680386], ""mode"": ""coordinated""}"
